Logistic test size 10%:	 Accuracy: 100.00%
Pytorch test size 10%:	 Accuracy: 100.00%
Tensorflow test size 10%:	 Accuracy: 100.00%
MLP test size 10%:	 Accuracy: 100.00%
Logistic test size 20%:	 Accuracy: 100.00%
Pytorch test size 20%:	 Accuracy: 92.86%
Tensorflow test size 20%:	 Accuracy: 78.57%
MLP test size 20%:	 Accuracy: 92.86%
Logistic test size 30%:	 Accuracy: 95.45%
Pytorch test size 30%:	 Accuracy: 86.36%
Tensorflow test size 30%:	 Accuracy: 90.91%
MLP test size 30%:	 Accuracy: 95.45%
Logistic test size 40%:	 Accuracy: 96.43%
Pytorch test size 40%:	 Accuracy: 85.71%
Tensorflow test size 40%:	 Accuracy: 92.86%
MLP test size 40%:	 Accuracy: 96.43%
Logistic test size 50%:	 Accuracy: 97.14%
Pytorch test size 50%:	 Accuracy: 91.43%
Tensorflow test size 50%:	 Accuracy: 82.86%
MLP test size 50%:	 Accuracy: 91.43%
Logistic test size 60%:	 Accuracy: 95.24%
Pytorch test size 60%:	 Accuracy: 90.48%
Tensorflow test size 60%:	 Accuracy: 97.62%
MLP test size 60%:	 Accuracy: 92.86%
Logistic test size 70%:	 Accuracy: 90.00%
Pytorch test size 70%:	 Accuracy: 96.00%
Tensorflow test size 70%:	 Accuracy: 82.00%
MLP test size 70%:	 Accuracy: 90.00%
Logistic test size 80%:	 Accuracy: 94.64%
Pytorch test size 80%:	 Accuracy: 85.71%
Tensorflow test size 80%:	 Accuracy: 92.86%
MLP test size 80%:	 Accuracy: 89.29%
Logistic test size 90%:	 Accuracy: 79.37%
Pytorch test size 90%:	 Accuracy: 61.90%
Tensorflow test size 90%:	 Accuracy: 71.43%
MLP test size 90%:	 Accuracy: 80.95%
