depth,mse,bias,variance
1,0.01859814172315016,0.017712535363472684,0.01205081992738239
2,0.015326384967463108,0.013581227880444625,0.015642985673172034
3,0.016884891507305627,0.014167894380593252,0.01860438553318613
4,0.0183328790093758,0.015214792706034218,0.021112288688640568
5,0.02045518901468565,0.01672679554992828,0.02244469503775113
6,0.020104282306901877,0.015927842521425706,0.022475116728424296
7,0.02116335641911104,0.016142553865560735,0.02373756886129255
8,0.02294396855998035,0.01643028634668751,0.02555090072460693
9,0.02333974310510479,0.016259340780201408,0.025239507525787602
10,0.023740840003325592,0.016332370002576667,0.024800370947635045
