degree,mse,bias,variance
1,0.013435380885393115,0.013408656393701422,0.012533199628837012
2,0.012618432088106635,0.012565001279675223,0.01390566200542041
3,0.01273540379378109,0.012651109722446015,0.019258868753851105
4,0.00895025619616114,0.008867361672675416,0.015974451103559054
5,0.009333879765146413,0.009202653299687297,0.018222073130334502
6,0.008946158054504995,0.008785385621599275,0.017021335564448868
7,0.009106381803678553,0.008874316889912463,0.021402388079701077
8,0.00992574052427,0.009626996259513737,0.022841089006512376
9,0.009165156778787384,0.008769857939441279,0.01849039751864783
10,0.010637458446739842,0.010195504988478472,0.020865983879017603
