depth,mse,bias,variance
1,0.010837553583322666,0.010673123307812938,0.012731387411383353
2,0.009811778385091204,0.009493356229690254,0.015677924201688752
3,0.01002511147703812,0.009513042880048688,0.016439517311708146
4,0.010303585183217324,0.009582564221355295,0.016893907515874527
5,0.01076239098193936,0.00978536256365761,0.017476096057974913
6,0.011277348170983435,0.009985448709356842,0.018084838662302403
7,0.011903686216254993,0.010311642582688615,0.01860148566966789
8,0.012383153112829448,0.010446141126390933,0.019045283332272258
9,0.013028117106381491,0.010668816498311126,0.019815128500972286
10,0.0138292808036523,0.01097916631847482,0.020775131109014095
