degree,mse,bias,variance
1,0.013435380885393115,0.013408656393701422,0.012533199628837012
2,0.012618432088106635,0.012565001279675223,0.01390566200542041
3,0.01273540379378109,0.012651109722446015,0.019258868753851105
4,0.008950256196161141,0.008867361672675418,0.015974451103559065
5,0.009333879765146233,0.00920265329968732,0.01822207313033331
6,0.008946158054492812,0.008785385621587307,0.01702133556431342
7,0.00910638180373788,0.008874316890015232,0.021402388077987083
8,0.00992574052429637,0.009626996276537852,0.022841089397305583
9,0.009165153613484724,0.008769855556498424,0.01849041517745361
10,0.01063745868147589,0.010195513216013703,0.020865916819375763
